,Comments,Origin
271,Solo sus empleados!,Maerker
272,De pena ajena,Maerker
273,"Que buen circo! Esos diputados de morena a todo lo que les dice AMLO, le contestan "" A sus órdenes jefe"" . Jajajaja jajajaja jajajaja jajajaja jajajaja.",Maerker
274,Meeee meeee meeee así respondieron todos los funcionarios al presidente,Maerker
275,"Jajajjajaj....s
e pasan otra de esas yse pasan!!!",Maerker
276,"Puro show, se quejan del pasado y siguen el mismo camino. Morena es engaño, lava cerebros del pueblo. Igual era PRI en el pasado.",Maerker
277,Que patético,Maerker
278,Puras cortinas de humo,Maerker
279,Los dueños del país,Maerker
280,Otro capricho,Maerker
281,Punto para brozo,Maerker
282,Los borregos meeeee meeeeee,Maerker
283,"No hizo nada ni es su estado, ya va hacer algo con la nación 😑",Maerker
284,No me imagino el pais en manos de otro viejo nefasto como el presidente que tenemos ahora que Barbaro uqe jodidos estamos...,Maerker
285,Pura 4t,Maerker
286,Pues en Tabasco no piensan lo mismo de su secretario,Maerker
287,El logro del día,Maerker
288,No pues que chingoneria !,Maerker
289,Basura de individuos,Maerker
290,"Dedaso, lo mismo pero más barato",Maerker
291,"Pues claro se les va a acabar, seguir viviendo a costillas del pueblo. Saludos",Maerker
292,Siiiiii vamos a salir a votar si es necesario apoyo total a amlo.,Maerker
293,Ya valió somos el próximo Venezuela,Maerker
294,Nanais desaprobada,Maerker
295,Jtrinidad Floreshuaracha,Maerker
296,Viva INE,Maerker
297,Vamos por esa reforma 🇲🇽🇲🇽🇲🇽🇲🇽🇲🇽,Maerker
298,"Si deveras quisiera la democracia porque se molesta cuando no asen lo que dise, es solo un anciano que quiere el poder para el solo y lo está poniendo a modo, a su beneficio .",Maerker
299,Entonces el llegó por un fraude electoral,Maerker
300,Quiere todo para ellos,Maerker
301,Es gusto eso si estoy de acuerdo,Maerker
